stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Project\practises\bin\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.09382] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09390] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09398] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09406] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09421] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09431] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09440] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09448] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09456] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09464] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09472] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09480] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09488] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09496] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09504] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09512] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09520] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09528] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09536] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09545] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1682 d3d_create_display_internals     [   0.09554] Trying format 0.
d3d      I         d3d_disp.cpp:1358 d3d_display_thread_proc          [   0.09624] Chose a display format: 23
d3d      I         d3d_disp.cpp:1427 d3d_display_thread_proc          [   0.09638] Normal window.
d3d      I         d3d_disp.cpp:791  d3d_create_device                [   0.13814] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:853  d3d_create_device                [   0.17368] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:861  d3d_create_device                [   0.17385] Success
d3d      D         d3d_disp.cpp:1705 d3d_create_display_internals     [   0.17405] Resumed after wait.
d3d      I         d3d_disp.cpp:1738 d3d_create_display_internals     [   0.17419] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1769 d3d_create_display_internals     [   0.17431] Returning d3d_display: 00e5e280
d3d      D         d3d_disp.cpp:1794 d3d_create_display_locked        [   0.17439] al_display=00e5e280
d3d      D         d3d_disp.cpp:1795 d3d_create_display_locked        [   0.17447] al_display->vt=00e5c810
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.17521] PathFindOnPath found: C:\Windows\system32\d3dx9_43.dll
system   D            wsystem.c:780  load_library_at_path             [   0.17537] Calling LoadLibrary C:\Windows\system32\d3dx9_43.dll
system   I            wsystem.c:783  load_library_at_path             [   0.17660] Loaded C:\Windows\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.17677] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.18128] added dtor for bitmap 02739380, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.18320] added dtor for bitmap 0276cc38, func 747a1c9e
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.19012] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.19031] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.19044] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.19055] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.19066] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.19076] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.19087] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.19098] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.19108] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.19120] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.19129] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.19138] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.19146] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.19205] added dtor for bitmap 0276d1d0, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19288] added dtor for sub_bitmap 027a0940, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19300] added dtor for sub_bitmap 027a0ac0, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19309] added dtor for sub_bitmap 027a0c40, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19324] added dtor for sub_bitmap 027a0dc0, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19333] added dtor for sub_bitmap 027a1748, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19342] added dtor for sub_bitmap 027a18c8, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19350] added dtor for sub_bitmap 027a1a48, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19359] added dtor for sub_bitmap 027a1bc8, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19367] added dtor for sub_bitmap 027a1d48, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19376] added dtor for sub_bitmap 027a1ec8, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19385] added dtor for sub_bitmap 027a2048, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19393] added dtor for sub_bitmap 027a21c8, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19401] added dtor for sub_bitmap 027a2348, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19410] added dtor for sub_bitmap 027a24c8, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19420] added dtor for sub_bitmap 027a2b08, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19429] added dtor for sub_bitmap 027a27f8, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19437] added dtor for sub_bitmap 027a2670, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19445] added dtor for sub_bitmap 027a2980, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19454] added dtor for sub_bitmap 027a3128, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19462] added dtor for sub_bitmap 027a3438, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19474] added dtor for sub_bitmap 027a32b0, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19483] added dtor for sub_bitmap 027a2e18, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19491] added dtor for sub_bitmap 027a2c90, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19500] added dtor for sub_bitmap 027a2fa0, func 747a1c9e
