stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Project\x\bin\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.15556] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15572] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.15586] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15602] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.15617] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15632] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.15646] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15663] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.15678] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15694] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.15709] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15746] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.15760] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15776] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.15790] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15806] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.15821] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15836] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.15851] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15866] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.15911] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15948] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.15986] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16023] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16055] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16074] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16090] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16107] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16122] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16138] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16152] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16180] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16197] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16213] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16228] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16243] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16258] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16273] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16301] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16319] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16334] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16349] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16364] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16379] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16395] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16410] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16425] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16440] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16455] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16470] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16507] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16523] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16538] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16553] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1682 d3d_create_display_internals     [   0.16571] Trying format 0.
d3d      I         d3d_disp.cpp:1358 d3d_display_thread_proc          [   0.16660] Chose a display format: 23
d3d      I         d3d_disp.cpp:1427 d3d_display_thread_proc          [   0.16693] Normal window.
d3d      I         d3d_disp.cpp:791  d3d_create_device                [   0.25888] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:853  d3d_create_device                [   0.32380] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:861  d3d_create_device                [   0.32420] Success
d3d      D         d3d_disp.cpp:1705 d3d_create_display_internals     [   0.32455] Resumed after wait.
d3d      I         d3d_disp.cpp:1738 d3d_create_display_internals     [   0.32491] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1769 d3d_create_display_internals     [   0.32523] Returning d3d_display: 006cd818
d3d      D         d3d_disp.cpp:1794 d3d_create_display_locked        [   0.32551] al_display=006cd818
d3d      D         d3d_disp.cpp:1795 d3d_create_display_locked        [   0.32580] al_display->vt=006cc3d8
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.32713] PathFindOnPath found: C:\Windows\system32\d3dx9_43.dll
system   D            wsystem.c:780  load_library_at_path             [   0.32744] Calling LoadLibrary C:\Windows\system32\d3dx9_43.dll
system   I            wsystem.c:783  load_library_at_path             [   0.32974] Loaded C:\Windows\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.33006] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.33064] added dtor for bitmap 02928e50, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.33331] added dtor for bitmap 02942ac8, func 6f7f1c9e
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.34051] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.34071] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.34085] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.34098] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.34110] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.34125] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.34139] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.34152] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.34172] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.34185] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.34199] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.34212] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.34225] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.34305] added dtor for bitmap 0295cd28, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34506] added dtor for sub_bitmap 02990498, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34524] added dtor for sub_bitmap 02990618, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34542] added dtor for sub_bitmap 02990fa0, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34556] added dtor for sub_bitmap 02991120, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34568] added dtor for sub_bitmap 029912a0, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34582] added dtor for sub_bitmap 02991420, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34596] added dtor for sub_bitmap 029915a0, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34609] added dtor for sub_bitmap 02991720, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34622] added dtor for sub_bitmap 029918a0, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34632] added dtor for sub_bitmap 02991a20, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34642] added dtor for sub_bitmap 02991ba0, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34654] added dtor for sub_bitmap 02991d20, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34666] added dtor for sub_bitmap 02991ea0, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34678] added dtor for sub_bitmap 02992020, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34692] added dtor for sub_bitmap 02992f90, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34703] added dtor for sub_bitmap 02992660, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34716] added dtor for sub_bitmap 029927e8, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34729] added dtor for sub_bitmap 029921c8, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34741] added dtor for sub_bitmap 02992e08, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34754] added dtor for sub_bitmap 02992970, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34767] added dtor for sub_bitmap 02992350, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34779] added dtor for sub_bitmap 02992af8, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34791] added dtor for sub_bitmap 029924d8, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34804] added dtor for sub_bitmap 02992c80, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34818] added dtor for sub_bitmap 02994120, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34828] added dtor for sub_bitmap 02993e10, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34837] added dtor for sub_bitmap 029942a8, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34846] added dtor for sub_bitmap 02993978, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34858] added dtor for sub_bitmap 02994a50, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34869] added dtor for sub_bitmap 02994d60, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34879] added dtor for sub_bitmap 02993f98, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34889] added dtor for sub_bitmap 02993668, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34900] added dtor for sub_bitmap 02993358, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34911] added dtor for sub_bitmap 02994bd8, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34922] added dtor for sub_bitmap 029934e0, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34934] added dtor for sub_bitmap 02994ee8, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34944] added dtor for sub_bitmap 029931d0, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34956] added dtor for sub_bitmap 029937f0, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34968] added dtor for sub_bitmap 02993b00, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34978] added dtor for sub_bitmap 02993c88, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.34990] added dtor for sub_bitmap 02994430, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35002] added dtor for sub_bitmap 029948c8, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35014] added dtor for sub_bitmap 029945b8, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35026] added dtor for sub_bitmap 02994740, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35039] added dtor for sub_bitmap 029972f8, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35051] added dtor for sub_bitmap 029958f0, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35063] added dtor for sub_bitmap 02995d88, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35074] added dtor for sub_bitmap 02997170, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35086] added dtor for sub_bitmap 029969c8, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35097] added dtor for sub_bitmap 029966b8, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35129] added dtor for sub_bitmap 02996b50, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35145] added dtor for sub_bitmap 02996cd8, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35164] added dtor for sub_bitmap 02995a78, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35177] added dtor for sub_bitmap 029955e0, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35187] added dtor for sub_bitmap 02996fe8, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35198] added dtor for sub_bitmap 02995768, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35209] added dtor for sub_bitmap 02996840, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35220] added dtor for sub_bitmap 02995c00, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35231] added dtor for sub_bitmap 02996220, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35242] added dtor for sub_bitmap 02996e60, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35254] added dtor for sub_bitmap 02995f10, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35266] added dtor for sub_bitmap 02996098, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35278] added dtor for sub_bitmap 029963a8, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35289] added dtor for sub_bitmap 02996530, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35307] added dtor for sub_bitmap 029991d8, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35323] added dtor for sub_bitmap 02999670, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35333] added dtor for sub_bitmap 02998a30, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35344] added dtor for sub_bitmap 02998598, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35355] added dtor for sub_bitmap 02997f78, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35375] added dtor for sub_bitmap 02999b08, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35399] added dtor for sub_bitmap 029994e8, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35414] added dtor for sub_bitmap 02998410, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35426] added dtor for sub_bitmap 02998720, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35439] added dtor for sub_bitmap 02999050, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35451] added dtor for sub_bitmap 02998ec8, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35462] added dtor for sub_bitmap 029988a8, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35474] added dtor for sub_bitmap 02998bb8, func 6f7f1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.35484] added dtor for sub_bitmap 02998d40, func 6f7f1c9e
